# BJD           FLUX       E_FLUX    
  8479.537005   0.932615   0.001622  
  8479.557818   0.997838   0.001658  
  8479.578692   1.00194    0.001656  
  8479.599505   0.994517   0.001654  
  8479.620317   1.003444   0.001662  
  8479.641191   1.001632   0.001656  
  8479.662004   1.005082   0.001656  
  8479.682817   1.00206    0.001655  
  8479.703691   1.001777   0.001654  
  8479.724504   1.000559   0.001651  
  8479.745317   0.994376   0.001649  
  8479.766191   0.98602    0.001644  
  8479.787004   0.979066   0.001642  
  8479.807817   0.977681   0.001639  
  8479.828691   0.9686     0.001639  
  8479.849504   0.965044   0.001632  
  8479.870317   0.956102   0.001629  
  8479.891191   0.954428   0.001625  
  8479.912004   0.848292   0.001571  
  8479.932817   0.675788   0.001478  
  8479.953691   0.738173   0.001513  
  8479.974504   0.913719   0.001606  
  8479.995317   0.957718   0.001626  
  8480.016191   0.965395   0.00163   
  8480.037004   0.970377   0.001631  
  8480.057817   0.975745   0.001635  
  8480.078691   0.985549   0.001639  
  8480.099504   0.982351   0.001638  
  8480.120317   0.987827   0.001641  
  8480.141191   0.990991   0.001641  
  8480.162004   0.998071   0.001644  
  8480.182817   0.998499   0.001644  
  8480.203691   0.999626   0.001643  
  8480.224504   1.003417   0.001648  
  8480.245317   0.999997   0.001644  
  8480.26613    0.997669   0.001643  
  8480.286943   0.996734   0.001642  
  8480.307817   0.998718   0.001642  
  8480.32863    0.984668   0.001637  
  8480.349443   0.884295   0.001583  
  8480.370317   0.819093   0.00155   
  8480.39113    0.903762   0.001594  
  8480.411943   0.992134   0.001637  
  8480.432817   0.998147   0.001641  
  8480.45363    1.001383   0.001641  
  8480.474443   0.999787   0.001642  
  8480.495317   1.002265   0.001642  
  8480.51613    1.001701   0.001642  
  8480.536943   1.002891   0.00164   
  8480.557817   0.995993   0.001638  
  8480.57863    0.994484   0.001636  
  8480.599443   0.993423   0.001636  
  8480.620317   0.990117   0.001634  
  8480.64113    0.982815   0.001631  
  8480.661943   0.976304   0.001625  
  8480.682817   0.972246   0.001625  
  8480.70363    0.964536   0.001618  
  8480.724443   0.957262   0.001616  
  8480.745317   0.952806   0.001613  
  8480.76613    0.888323   0.00158   
  8480.786943   0.703133   0.001482  
  8480.807817   0.704286   0.001483  
  8480.82863    0.883942   0.001577  
  8480.849443   0.953335   0.001613  
  8480.870317   0.959119   0.001617  
  8480.89113    0.968549   0.001619  
  8480.95363    0.988484   0.001629  
  8480.974443   0.990748   0.00163   
  8480.995317   0.994568   0.001631  
  8481.01613    0.995659   0.001634  
  8481.036943   0.996656   0.001631  
  8481.057817   0.994868   0.001631  
  8481.078631   1.005325   0.001635  
  8481.099444   0.99663    0.001632  
  8481.120318   1.002829   0.001634  
  8481.141131   1.000307   0.001633  
  8481.161944   0.996174   0.001632  
  8481.182818   0.989724   0.001629  
  8481.203631   0.907627   0.001586  
  8481.224444   0.818821   0.001542  
  8481.245318   0.874453   0.001569  
  8481.266131   0.980357   0.001622  
  8481.328631   1.0024     0.001636  
  8481.349444   1.001782   0.001634  
  8481.370318   1.00046    0.001634  
  8481.391131   1.000599   0.001634  
  8481.411944   1.001713   0.001636  
  8481.432818   0.996588   0.001633  
  8481.453631   0.990626   0.001629  
  8481.474444   0.985133   0.001627  
  8481.495318   0.983375   0.001626  
  8481.516131   0.975726   0.001622  
  8481.536944   0.971105   0.00162   
  8481.557818   0.966501   0.001616  
  8481.578631   0.957361   0.001611  
  8481.599444   0.95334    0.00161   
  8481.620318   0.917421   0.001591  
  8481.641131   0.737757   0.001498  
  8481.661944   0.676181   0.001465  
  8481.682818   0.844266   0.001554  
  8481.703631   0.949981   0.001608  
  8481.724444   0.958263   0.001611  
  8481.745319   0.963656   0.001613  
  8481.766132   0.967289   0.001616  
  8481.786945   0.975098   0.00162   
  8481.807819   0.980556   0.001622  
  8481.828632   0.985318   0.001625  
  8481.849445   0.992944   0.001629  
  8481.870319   0.994058   0.001629  
  8481.891132   0.99644    0.001629  
  8481.911945   0.996829   0.001629  
  8481.932819   0.998142   0.001631  
  8481.953632   0.994253   0.001633  
  8481.974445   0.999751   0.00163   
  8481.995319   0.999512   0.00163   
  8482.016132   0.999068   0.001631  
  8482.036945   0.997647   0.00163   
  8482.057819   0.937669   0.001599  
  8482.078632   0.829764   0.001546  
  8482.099445   0.86439    0.001562  
  8482.120319   0.96606    0.001613  
  8482.141132   0.994667   0.001629  
  8482.161945   0.998062   0.001631  
  8482.182819   0.998679   0.001629  
